latin,dhivehi
Bayaan negumah fahu anhenmeehaa dhookollaifi!,ފެނުނީ ވަޒަނެއް ކަން އެމްއެންޑީއެފަށް ޔަގީންވޭ، ބަޔާން ނެގުމަށް ފަހު މީހާ ދޫކޮށްލައިފި
SATA in MU Manik ah haassa award eh dheefi,ސަޓާ އިން އެމްޔޫ މަނިކަށް ހާއްސަ އެވޯޑެއް ދީފި
RDC ge kureege verinah kuri thuhumathu thakah javaabudharee vumuge furusathakah edhijje,އާރުޑީސީގެ ކުރީގެ ވެރިންނަށް ކުރި ތުހުމަތުތަކަށް ޖަވާބުދާރީވުމުގެ ފުރުސަތަކަށް އެދިއްޖެ
Kandima Resort gai Rajjeyge furathama Kart Racing ah track hulhuvanee,ކަނޑިންމަ ރިސޯޓުގައި ރާއްޖޭގެ ފުރަތަމަ ކާޓް ރޭސިން ޓްރެކް ހުޅުވަނީ
MWSC ge april mahuge bilun 10 percent discount dhenee,އޭޕްރީލް މަހުގެ ފެން ބިލުން ޑިސްކައުންޓް ދެނީ
Pakistan celebrity inge social media account thah India gai block koffi,ޕާކިސްތާނު ސެލެބްރިޓީންގެ ސޯޝަލް މީޑިއާ އެކައުންޓްތައް އިންޑިއާގައި ބްލޮކްކޮށްފި
Raeesge bappaafulhu kurevvi khidhumathah High Court ge award eh,ރައީސްގެ ބައްޕާފުޅު އަލްމަރުހޫމް ޝައިހް ހުސެއިންއަށް ހައި ކޯޓުގެ އެވޯޑެއް
Madaveleegai MIB ge ATM bahattaifi,މަޑަވެލީގައި އެމްއައިބީގެ އޭޓީއެމް ބަހައްޓައިފި
91 percent mudhalun duty nunagaane,ޗައިނާގެ އެފްޓީއޭއަށް އަންނަ އަހަރު އަމަލުކުރަން ފަށަނީ، 91 ޕަސެންޓު މުދަލުން ޑިއުޓީ ނުނަގާނެ
Ministry thakuge mandate faas kuran committee ah fonuvaifi,މިނިސްޓްރީތަކުގެ މެންޑޭޓް ފާސްކުރަން ކޮމިޓީއަށް ފޮނުވައިފި
FAM ge asaasee gavaidhu islaahu kuran club thakaa eku FIFA in conference akah,އެފްއޭއެމްގެ އާސާސީ ގަވާއިދު އިސްލާހުކުރަން ކްލަބްތަކާ އެކު ފީފާއިން ކޮންފަރެންސަކަށް
Islamic Finance ge hub akah Raajje hadhaanan: Shafeeq,އިސްލާމިކް ފައިނޭންސްގެ ހަބަކަށް ރާއްޖެ ހަދާނަން: ޝަފީގު
Sihhee adhi thauleemee dhairaa ge musaara aa gulhey shakuvaathakah Raees hallu thakeh genes dhevvaifi,ސިއްހީ އަދި ތައުލީމީ ދާއިރާގެ މުސާރައާ ގުޅޭ ޝަކުވާތަކަށް ރައީސްގެ ހައްލުތަކެއް ގެނެސް ދެއްވައިފި
Dhiraasee aa aharu January gai fashaa gothah 2025 vana aharu badhalu kuranee,ދިރާސީ އާ އަހަރު ޖެނުއަރީގައި ފަށާ ގޮތަށް 2025 ވަނަ އަހަރު ބަދަލުކުރަނީ
MNU Marathon ge platinum partner akah BML,އެމްއެންޔޫ މެރެތަންގެ ޕްލެޓިނަމް ޕާޓްނަރަކަށް ބީއެމްއެލް
Pochettino varah rulhi gadha vejje,"ޗެލްސީގެ ކުޅުމާ ހެދި ޕޮޗެޓީނޯ ""ވަރަށް ރުޅިގަދަ"" ވެއްޖެ"
Story: Raanee,ރާނީ
Newcastle ge coach pneumonia ah faruvaa hoadhany,ނިއުކާސަލްގެ ކޯޗު ނިއުމޯނިއާ އަށް ފަރުވާ ހޯދަނީ
govaalee faas nukuran!,މުސާރަ ބޮޑުކުރުމާ އެމްއެންޕީން ވެސް ދެކޮޅު، ގޮވާލީ ފާސްނުކުރަން!
Dr. Shaheem ge jamiyyaa ge mi aharuge fahu foiy Islaamee nazariyaathu nerefi,"ޝަހީމްގެ ޖަމިއްޔާގެ މި އަހަރުގެ ފަހު ފޮތް ""އިސްލާމީ ނަޒަރިއްޔާތު"" ނެރެފި"
Children's Ombudsperson Niumath ge dhauru dhammaalan Raees Majileehugai edhivadaigenfi,ޗިލްޑްރަންސް އޮމްބަޑްސްޕާސަން ނިއުމާތުގެ ދައުރު ދަންމާލަން ރައީސް މަޖިލީހުގައި އެދިވަޑައިގެންފި
Trump ge Gaza plan aa gulhey summit eh Saudi gai baavanee,ޓްރަމްޕުގެ ޣައްޒާ ޕްލޭނާ ގުޅޭ ސަމިޓެއް ސައޫދީގައި ބާއްވަނީ
Moosumee neydhevey badhaluthakaa dhekolhah fiyavalhu elhun fulhaa kuran Naib Raees govaalaivvaifi,މޫސުމީ ނޭދެވޭ ބަދަލުތަކާ ދެކޮޅަށް ފިޔަވަޅު އެޅުން ފުޅާކުރަން ނައިބު ރައީސް ގޮވާލައްވައިފި
Red Crescent ge initiative aa BML in gulhijje,ރެޑްކްރެސެންޓުގެ އިނީޝިއޭޓިވްއާ ބީއެމްއެލްއިން ގުޅިއްޖެ
Thoonu ehchakun hamalaadhee Nepal meehaku zaham kollaifi,ތޫނު އެއްޗަކުން ހަމަލާދީ ނޭޕާލުގެ މީހަކު ޒަހަމްކޮށްލައިފި
Aailaage magsadhu thakuge therein aburuverikamaai dheenverikan,ރަނގަޅު އާއިލާއަކަށްޓަކައި އަބުރުވެރިކަމާއި ދީންވެރިކަން އިސްކުރުން!
Raees edhivadaigathee kiyevumugai hivvaru kuran,ރައީސްގެ ނަސޭހަތަކީ ކިޔެވުމުގެ އުނދަގޫ ދަތުރުގައި ހިތްވަރުކުރަން
Naakamiyaabee ge zinmaa Onana nagaifi: Team dhah vee ahanaa hedhi,ނާކާމިޔާބީގެ ޒިންމާ އޮނާނާ ނަގައިފި؛ ޓީމު ދަށްވީ އަހަންނާ ހެދި
Aanmukoh fenboduvaa 72 rashakah fen hindhaa pump foarukoh dheefaivey: NDMA,އާންމުކޮށް ފެންބޮޑުވާ 72 ރަށަކަށް ފެން ހިންދާ ޕަމްޕް ފޯރުކޮށްދީފައިވޭ: އެންޑީއެމްއޭ
Raheenunge maraa eku beyraai etherein Netanyahu ah pressure bodu vejje,ރަހީނުންގެ މަރާ އެކު ބޭރާއި އެތެރެއިން ނަތަންޔާހޫ އަށް ޕްރެޝަރު ބޮޑުވެއްޖެ
Raees aa eku Raajjege Investment forum Dubai gai,ރައީސާ އެކު ރާއްޖޭގެ އިންވެސްޓްމެންޓް ފޯރަމް  ދުބާއީގައި
Aniyaa in salaamaiyve Dhagan'dey en'buri New ah,އަނިޔާ އިން ސަލާމަތްވެ ދަގަނޑޭ އެނބުރި ނިއު އަށް
ekamaku insaafuveri vaanan,އަބްދުއްރަހީމް، އިބޫ އަށް: އަޅުގަނޑުމެން އަނިޔާވެރިއެއް ނުވާނަން، އެކަމަކު އިންސާފުވެރިވާނަން
22 gai,2022 އާއި 2023 ގެ އޯލެވެލް ގަދަ 10 ގެ ޖަލްސާ މި މަހުގެ 21، 22 ގައި
Launch accident gai Rasheed maruvi massala balanee,ލޯންޗު އެކްސިޑެންޓްގައި ރަޝީދު މަރުވި މައްސަލަ ބަލަނީ
POLCO ge CEO Anees magaamun vaki kuran hushahalhaifi,ޕޮލްކޯގެ ސީއީއޯ އަނީސް މަގާމުން ވަކިކުރަން ހުށަހަޅައިފި
UN ge General Assembly in Palestine ah gondieh,އދ.ގެ މެންބަރަކަށް ނުވިޔަސް އާންމު މަޖިލީހުގައި ފަލަސްތީނަށް ގޮނޑިއެއް
VIA gai aa fire station eh hulhuvaifi,ވީއައިއޭގައި އާ ފަޔާ ސްޓޭޝަނެއް ހުޅުވައިފި
Umra ah agu heyo package thah thaaraf kuran Minister edhivadaigenfi,އުމްރާއަށް އަގު ހެޔޮ ޕެކޭޖްތައް ތައާރަފްކުރަން މިނިސްޓަރު އެދިވަޑައިގެންފި
AbdulRaheem aaeku 13 candidate akah primary aa nulaa PPM/PNC ge ticket kashavaru vejje,އަބްދުއްރަހީމް ހިމެނޭހެން 13 ކެންޑިޑޭޓަކަށް ޕްރައިމަރީއާ ނުލާ ޕީޕީއެމް/ޕީއެންސީގެ ޓިކެޓު ކަށަވަރުވެއްޖެ
bodu amaanaatheh: Muizz,ވެރިކަމަކީ ޝަރަފެއް ނޫން، ބޮޑު އަމާނާތެއް: މުއިއްޒު
Azmiralda ge 2 vana massala ge adu ehun ves hulhuvaanulaan nimmaifi,އަޒްމިރަލްދާގެ ދެ ވަނަ މައްސަލައިގެ އަޑުއެހުން ވެސް ހުޅުވާނުލާން ނިންމައިފި
Noosverikamuge hayaathee aruthaige award Hiriga Zahir aai Rameez ah,ނޫސްވެރިކަމުގެ ހަޔާތީ އަރުތައިގެ އެވޯޑް ހިރިގާ ޒާހިރާއި ރަމީޒަށް
Miadhun feshigen Departure tax aai Airport development fee bodu vaane,މިއަދުން ފެށިގެން ޑިޕާޗާ ޓެކްސް އާއި އެއާޕޯޓް ޑިވެލޮޕްމަންޓް ފީ ބޮޑުވާނެ
18 kilo ge drug mahsalaigai mihaathanah thuhumathu kurevey meehaku ves adhi faahaga nuvey,18 ކިލޯގެ ޑްރަގު މައްސަލާގައި ތުހުމަތުކުރެވޭ މީހަކު ވެސް އަދި ފާހަގަނުވޭ
Male' ge baeh sarahadhuthakugai fathihu 5 jahaairu bahuge hidhumaiy dheyn fashanee,މާލޭގެ ބައެއް ސަރަހައްދުތަކުގައި ފަތިހު 5 ޖަހާއިރު ބަހުގެ ހިދުމަތް ދޭން ފަށަނީ
Accident vee kuyyah nagaigen ulhunu cycle eh,މަރުގެ އެކްސިޑެންޓު: ދުއްވީ އެހެން މީހަކު ކުއްޔަށް ނެގި ސައިކަލެއް
Raees Muizzu aa eku rangalhu mashvaraa thakeh kurevunu: India,ރައީސް މުއިއްޒާ އެކު ރަނގަޅު މަޝްވަރާތަކެއް ކުރެވުނު: އިންޑިއާ
thaareekh aai Islamee vantha design eh,ސުޕްރީމް ކޯޓުގެ ފަނޑިޔާރުންނަށް އާ ގައުނެއް، ތާރީހާއި އިސްލާމީވަންތަ ފަރުމާއެއް
Anhenunge dhauraa nulaa mujuthamau eh islaahu nuvaane: First Lady,އަންހެނުންގެ ދައުރާ ނުލައި މުޖުތަމައެއް އިސްލާހު ނުވާނެ: ފަސްޓް ލޭޑީ
Cuba ah 40 aharu jaasoos kodhdhin America safeeru jalah,ކިއުބާއަށް 40 އަހަރު ޖާސޫސްކޮށްދިން އެމެރިކާ ސަފީރު ޖަލަށް
EPA Restore Rasfari project ah Dhiraagu ge ehee,"އީޕީއޭގެ ""ރީސްޓޯ ރަސްފަރީ"" ޕްރޮޖެކްޓަށް ދިރާގުގެ އެހީ"
Umurun dhuvasvee meehunge athun feyrey massala ithuru vanee,އުމުރުން ދުވަސްވީ މީހުންގެ އަތުން ފޭރުމުގެ މައްސަލަތައް އިތުރުވަނީ
Kyrgyzstan gai moonu burugaa manaa kurumuge ninmumah thaaeedhu koffi,ކިރްގިސްތާންގައި މޫނުބުރުގާ މަނާކުރުމުގެ ނިންމުމަށް ތާއީދުކޮށްފި
Fandiyaarun ah elhi fiyavalhakee e dhaaira ge minivan kamah huras elhun: UN,ފަނޑިޔާރުންނަށް އެޅި ފިޔަވަޅަކީ އެ ދާއިރާގެ މިނިވަންކަމަށް ހުރަސް އެޅުން: އދ
Taiwan ah ai binhelumeggai bayaku maru vejje,ޓައިވާނަށް 25 އަހަރު ތެރޭ އައި އެންމެ ވަރުގަދަ ބިންހެލުމުގައި އެތައް ބަޔަކު މަރުވެއްޖެ
Hajj verinnah hassa flu clinic eh Tree top gai,ހައްޖުވެރިންނަށް ހާއްސަ ފްލޫ ކްލިނިކެއް ޓްރީ ޓޮޕްގައި
Villa College ge Chinese language center in bodu kaamiyaabee eh,ވިލާ ކޮލެޖުގެ ޗައިނީޒް ލޭންގުއޭޖް ސެންޓަރުން ބޮޑު ކާމިޔާބީއެއް
Gaanoonee hamathakun baavvaa evves siyaasee harakaathakah huras naalhaanan: Sarukaaru,ގާނޫނީ އެއްވެސް ސިޔާސީ ހަރަކާތަކަށް ހުރަހެއް ނާޅާނެ: ސަރުކާރު
Committee in ninmee Thinadhoo ah city ehgge haisiyyathu dheyn muasasaa thakah angan!,ކޮމިޓީން ނިންމީ ތިނަދު އަށް ސިޓީއެއްގެ ހައިސިއްޔަތު ދޭން މުއައްސަސާތަކަށް އަންގަން!
Vaahaka: Lasvun,ލަސްވުން
Urudhun ge vina keumuge ufaafaalhu kurumah joke jehi Iraq ge Aymen ah raieyy card,"އުރުދުންގެ ""ވިނަ ކެއުމުގެ"" އުފާފާޅުކުރުމަށް ޖޯކުޖެހި އިރާގުގެ އައިމަނަށް ރަތްކާޑް"
Iran inn bunee Nasrallah avahaara kollumuge badhalu hifaane kamah,އިރާނުން ބުނީ ނަސްރުﷲ އަވަހާރަކޮށްލުމުގެ ބަދަލު ހިފާނެ ކަމަށް
STO ge Hitachi promotion gai AC thakun discount,އެސްޓީއޯގެ ހިޓާޗީ ޕްރޮމޯޝަނުގައި އޭސީތަކުން ޑިސްކައުންޓް
Kudakudhinnah screen nudhakkan Sweden gai angaifi,ކުޑަކުދިންނަށް ސްކްރީން ނުދައްކަން ސްވިޑަން ސަރުކާރުން އެދެފި
Ebbasvunthah baathil kuraanan: Usham,ގިނައިން ބަދަލު ދީފައި ހުރީ ގާނޫނާ ހިލާފަށް، އެއްބަސްވުންތައް ބާތިލް ކުރާނަން: އުޝާމް
Lanka gai drug vikkaa meehegge hotel eh thalhaalaifi,ލަންކާގެ ޑްރަގް އޮޕަރޭޝަން: ޑްރަގް ވިއްކާ މީހެއްގެ ހޮޓަލެއް ތަޅާލައިފި
Saudi shaahee aailaa ah nisbaiykoh cartoon kurehumun 23 aharah jalah,ސައޫދީ ޝާހީ އާއިލާއަށް ނިސްބަތްކޮށް ކާޓޫނު ކުރެހުމުން 23 އަހަރަށް ޖަލަށް
Galolhu dhandu ge light thakuge massala jeheythee match thah haveerah,ގަލޮޅު ދަނޑުގެ ލައިޓްތަކުގެ މައްސަލަ ޖެހޭތީ މެޗުތައް ހަވީރަށް
India gai Youtube balaigen hedhi surgery akah fahu kujjaku maruvejje,"އިންޑިއާގެ ""ޑޮކްޓަރެއް"" ޔޫޓިއުބް ބަލައިގެން ހެދި ސާޖަރީއެއްގެ ސަބަބުން ކުއްޖަކު މަރުވެއްޖެ"
Sarukaarun dhey flat control ageh gai kuyyah dhevey goi hadheumuge visnun ebaoi: Fayyaz,ސަރުކާރުން ދޭ ފްލެޓް ކޮންޓްރޯލް އަގެއްގައި ކުއްޔަށް ދެވޭ ގޮތަށް ހަދާނަން: ފައްޔާޒު
islaamee shareeaa huhdha kuraa loan akah hadhanee,ސްޓޫޑެންޓު ލޯނުގެ އިދާރީ ފީ ކަނޑާލައި، އިސްލާމީ ޝަރީއާ ހުއްދަކުރާ ލޯނަކަށް ހަދަނީ
153 Aharu vee iru ves ehen team akah nuhdhunu record akaa eku City semi ah,153 އަހަރުވީ އިރު ވެސް އެހެން ޓީމަކަށް ނުހެދުނު ރެކޯޑަކާ އެކު ސިޓީ ސެމީއަށް
Rajje in beyrah faisaa fonuvaigen 5000 Rufiyaa ge gift card eh,ރާއްޖެއިން ބޭރަށް ފައިސާ ފޮނުވައިގެން 5،000 ރުފިޔާގެ ގިފްޓު ކާޑެއް
Banafusaa ge in eri Abdul Raheem ge lhenverikamuge thari,ބަނަފުސާގެއިން އެރި އަބްދުއްރަހީމުގެ ޅެންވެރިކަމުގެ ތަރި
haalu boduvefai,ޣައްޒާގައި 8،000 އަށް ވުރެ ގިނަ ތުއްތު ކުދިން ކާން ނުލިބި ހާލުބޮޑުވެފައި
Lanka ge Raees Ranil aa bahdhalu kuravvaifi,އާ ރައީސް ޑރ. މުއިއްޒު، ލަންކާގެ ރައީސް ރަނިލްއާ ބައްދަލުކުރައްވައިފި
Israel ge hamalaa thakugai shikaara akah vaa kudakudhin ge adhadhu gina: UNICEF,އިޒްރޭލްގެ ހަމަލާތަކުގައި ޝިކާރައަކަށްވާ ކުޑަކުދިންގެ އަދަދު ގިނަ: ޔުނިސެފް
Eheege yacht in hifehetti Greta Israel in deport koffi,އެހީގެ ޔޮޓުން ހިފެހެއްޓި ގްރޭޓާ ޓަންބާގް އިޒްރޭލުން ޑީޕޯޓްކޮށްލައިފި
Israel ah Biden ge nuruhun,އިޒްރޭލަށް ބައިޑެންގެ ނުރުހުން: ޣައްޒާގައި ހެދީ ގޯސް
Pakistan in thelaai gas ge bodu reserve eh fenijje,ޕާކިސްތާނުން ތެލާއި ގޭހުގެ ބޮޑު ރިޒާވެއް ފެނިއްޖެ
China ah kurieh nulibeyne: Biden,އެމެރިކާ ވަރުދަގަދަވެއްޖެ، ޗައިނާއަށް ކުރިއެއް ނުލިބޭނެ: ބައިޑެން
MDP PG leader Bigey ah alifushi gondi kaamiyaab eh nuvi!,މެޖޯރިޓީ ލީޑަރު ބިގޭއަށް އަލިފުށީ ގޮނޑި ކާމިޔާބެއްނުވި!
Association Cup ge thashi Dheema dhifaau kohfi!,ދީމާ، އެސޯސިއޭޝަން ކަޕްގެ ތަށި ދިފާއުކޮށްފި!
Dhaulathah liben jehey 513 million dollar hoadhumuge masakkaiy Majileehun fashanee,ދައުލަތަށް ލިބެން ޖެހޭ 513 މިލިއަން ޑޮލަރު ހޯދުމުގެ މަސައްކަތް މަޖިލީހުން ފަށަނީ
Kuriah oi 3 dhuvahu kandu varah gadhavaane,ކުރިއަށް އޮތް ތިން ދުވަހު ކަނޑު ވަރަށް ގަދަވާނެ: މެޓް
Airport ge muvazzafun thakakah hamalaadhin bidheysee eh hayyaru koffi,އެއާޕޯޓުގައި އެއާލައިނެއްގެ މުވައްޒަފުންތަކަކަށް ހަމަލާދިން ބިދޭސީއަކު ހައްޔަރުކޮށްފި
Yooppe ge sirrakee kobaa?,މިހާރު ލައިޓް
Anhen hedhun alhaigen vakkan kuran ulhunu 2 firihenaku hayyaru koffi,އަންހެން ހެދުން އަޅައިގެން ވައްކަން ކުރަން އުޅުނު ދެ ފިރިހެނަކު ހައްޔަރުކޮށްފި
Iyye faisaa bahan ulhunu kamah belevey meehegge massala balanee!,އިއްޔެ ފައިސާ ބަހަން އުޅުނު ކަމަށް ބެލެވޭ މީހެއްގެ މައްސަލަ ބަލަނީ!
Dhivehi bahuge academy ge hingun Ogaru Waheed ah,ދިވެހި ބަހުގެ އެކަޑެމީގެ ހިންގުން އޮގަރު ވަހީދަށް
Error: Request failed with status code 504 **********,"ID: 143811, Error: Request failed with status code 504 **********"
Faisaa dhinumugai Ministry in club thakuge medhugai thafaathu kuraathee nuruhun faalhukohfi,ފައިސާ ދިނުމުގައި މިނިސްޓްރީން ކްލަބްތަކުގެ މެދުގައި ތަފާތުކުރާތީ ނުރުހުން ފާޅުކޮށްފި
Bodethi baleegai thibi meehunnah haasa kuraa Hajj jaagathakah kurimathilaan hulhuvaalaifi,ބޮޑެތި ބަލީގައި ތިބި މީހުންނަށް ހާއްސަ ކުރާ ހައްޖުގެ ޖާގަތަކަށް ކުރިމަތިލާން ހުޅުވާލައިފި
Tharaggee ah beynunvaa faisaa hoadhan harudhanaa tax nizaameh muhimmu: Zameer,ތަރައްގީއަށް ބޭނުންވާ ފައިސާ ހޯދަން ހަރުދަނާ ޓެކްސް ނިޒާމެއް މުހިންމު: ޒަމީރު
Sh. Atoll council ge Raees aa eku MDP ge iss activistun thakeh ge thaaeedhu Muizzu ah,ށ. އަތޮޅު ކައުންސިލްގެ ރައީސާ އެކު އެމްޑީޕީގެ އިސް އެކްޓިވިސްޓުންތަކެއްގެ ތާއީދު މުއިއްޒަށް
bokifachchaai gidige harukuran fashaifi,އީދަށް 65 ރަށެއް ދިއްލާނެ، ބޮކިފައްޗާއި ގިޑިގެ ހަރުކުރަން ފަށައިފި
Dhaulathuge iss magaamuthakugai thibey meehun magaamun dhurukurumuge baaru rayyithunnah dhenee,ރައީސްގެ މަގާމު ހިމެނޭ ގޮތަށް އިސްމަގާމުތަކުގައި ތިބޭ މީހުން ދުރުކުރުމުގެ ބާރު ރައްޔިތުންނަށް ލިބޭ ގޮތަށް ހަދަނީ
10 dhuvahuge chutty gai rashah kohdhinee salhi kameh,"10 ދުވަހުގެ ޗުއްޓީގައި ރަށަށް ކޮށްދިނީ ""ސަޅި ކަމެއް"""
Nuhaggun 10 aharu jalugai beyvvi meehakah 50 million dollar,ނުހައްގުން 10 އަހަރު ޖަލުގައި ބޭއްވި މީހަކަށް 50 މިލިއަން ޑޮލަރުގެ ބަދަލެއް
China aa eku vefaivaa free trade agreement anna September gai thanfeezu kuranee,ޗައިނާއާ އެކު ވެފައިވާ ފްރީ ޓްރޭޑް އެގްރީމަންޓް ސެޕްޓެމްބަރުގައި ތަންފީޒުކުރަނީ
Gaza ga buffer zone eh hadhan gasthugai imaaraaithah govvi,"ޣައްޒާގައި ""ބަފަ ޒޯން"" އެއް ހަދަން އިޒްރޭލުން ގަސްދުގައި އިމާރާތްތައް ގޮއްވި: ތަޖުރިބާކާރުން"
Black market gai dollar vikkan ulhunu 7 bidheysee aku immigration ge belumuge dhashah,ބްލެކް މާކެޓްގައި ޑޮލަރު ވިއްކި ހަތް ބިދޭސީއަކު އިމިގްރޭޝަންގެ ބެލުމުގެ ދަށަށް
Kane ge 60 vana landaa eku Bayern league hoadhumaa gaathah,ކޭންގެ 60 ވަނަ ލަނޑާ އެކު ބެޔާން ލީގު ހޯދުމާ ގާތަށް
Raajjeyge kanduge sarahahdhu amilla ah belehettumaa dhekolhu hedhumakee ladhuvethi kameh: Raees,ރާއްޖޭގެ ކަނޑުގެ ސަރަހައްދު އަމިއްލައަށް ބެލެހެއްޓުމާ ދެކޮޅު ހެދުމަކީ ލަދުވެތިކަމެއް: ރައީސް
Ronaldo aa eku thafaathu dhakkai Nassr champions league quarter final ah,ރޮނާލްޑޯއާ އެކު ތަފާތު ދައްކައި ނަސްރު ޗެމްޕިއަންސް ލީގު ކުއާޓާ އަށް
